asset_id,asset_type,customer_id,project_id,asset_url,health_score,gsc_status,ga4_status,wp_cli_status,hermes_profile,telegram_topic,workspace,version,created_at,updated_at
,,1,1,brighterwebsites.com.au ,Brighter Websites,,,,,,,,,
,,2,2,100up.com.au ,100UP Off-Grid Solar,,,,,,,,,
,,3,3,guerillasteelstables.com.au,Guerilla Steel,,,,,,,,,
,,4,4,oneteamqld.com.au,One Team Counselling & Coaching,,,,,,,,,
,,5,5,paalgrant.com,Paal Grant Designs in Landscaping,,,,,,,,,
,,6,6,re-energy.com.au,Re-Energy,,,,,,,,,
,,7,7,coastalnativesupply.com.au,Coastal Native Supply,,,,,,,,,
,,8,8,horseshoebendnursery.com.au,Horseshoe Bend Nursery ,,,,,,,,,
,,9,,png.fqi,Papua New Guinea Federation of QLD,,,,,,,,,
,,10,,pawsforsupport.com.au,Paws for support,,,,,,,,,
,,11,,https://abandonstress.com.au/,Abandon Stress,,,,,,,,,
,,12,,https://bodynurturemassage.com/,Body Nurture Massage,,,,,,,,,
,,13,,https://cubecentral.com.au/,Cube Home Loans,,,,,,,,,
